title,sell_price,orlg_price,rating
MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹38,999","₹63,999",4.3
Thomson 9R PRO 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹27,499","₹46,999",4.4
Infinix X3 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,999","₹17,999",4.1
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹7,499","₹14,990",4.1
Nokia 81 cm (32 inch) HD Ready LED Smart Android TV with Sound by Onkyo and Dolby Atmos,"₹12,999","₹24,999",4.3
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹12,999","₹19,999",4.3
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,699","₹12,999",4
LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹30,990","₹49,990",4.4
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹59,999","₹69,999",4.4
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹32,999","₹70,000",4.3
TOSHIBA U50 Series 108 cm (43 inch) Ultra HD (4K) LED Smart VIDAA TV with Dolby Vision & ATMOS,"₹19,990","₹39,990",4.2
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
SAMSUNG The Frame 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹61,990","₹91,900",4.2
,,,
,,,
iFFALCON by TCL K61 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹25,999","₹58,990",4.3
Vu 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,"₹43,999","₹65,000",4.3
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 M...,"₹15,990","₹23,990",4.4
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Search,"₹15,490","₹20,900",4.3
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹45,990","₹69,900",4.6
SONY Bravia 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV,"₹51,999","₹85,900",4.6
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
Thomson OATHPRO Max 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹26,999","₹46,999",4.5
LG UQ8020 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹48,990","₹84,990",4.5
TCL S65A Series 79.97 cm (32 inch) HD Ready LED Smart Android TV,"₹12,990","₹29,990",4.3
Blaupunkt Cybersound 108 cm (43 Inch) Full HD LED Smart Android TV with 40W Speaker,"₹15,999","₹28,999",4.4
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Thomson 9A Series 98 cm (40 inch) Full HD LED Smart Android TV,"₹14,999","₹21,499",4.4
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999","₹42,999",4.4
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
SAMSUNG The Frame 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹61,990","₹91,900",4.2
Nokia 109 cm (43 inch) Full HD LED Smart Android TV,"₹20,999","₹34,000",4.3
Blaupunkt Cybersound 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹27,999","₹47,999",4.6
MOTOROLA Revou 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹24,999","₹49,999",4.4
Nokia 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹23,999","₹40,000",4.3
,,,
,,,
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
KODAK 7X Pro 98 cm (40 inch) Full HD LED Smart Android TV,"₹14,999","₹20,999",4.4
TCL S5200 108 cm (43 inch) Full HD LED Smart Android TV,"₹21,999","₹47,990",4.4
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹45,990","₹71,990",4.4
Nokia 140 cm (55 inch) Ultra HD 4K QLED Smart Android TV with Sound by JBL and Powered by Harman Audio...,"₹42,999","₹79,999",4.3
MarQ by Flipkart Innoview 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹19,999","₹34,999",4.3
iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,"₹15,999","₹36,990",4.2
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,399","₹10,999",4
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less Display,"₹9,499","₹15,499",4.3
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Dolby Vision & 30W Dolby Audio,"₹49,999","₹59,999",4.4
Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV with Bezel Less Display,"₹17,999","₹29,999",4.4
LG 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV,"₹49,990","₹79,990",4.4
Thomson 9R Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,999","₹29,999",4.4
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
iFFALCON by TCL F52 108 cm (43 inch) Full HD LED Smart Android TV,"₹18,999","₹44,900",4.1
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹41,980","₹68,400",4.3
,,,
,,,
