title,sell_price,orlg_price,rating
SAMSUNG 244 L Frost Free Double Door 3 Star Refrigerator  with Curd Maestro,"₹25,790","₹31,990",4.4
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹13,990","₹15,290",4.4
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,108","₹23,990",4.3
Whirlpool 340 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹31,990","₹45,250",4.3
LG 215 L Direct Cool Single Door 3 Star Refrigerator  with Fast Ice Making,"₹16,490","₹24,999",4.8
Haier 170 L Direct Cool Single Door 2 Star Refrigerator,"₹10,990","₹14,400",4.2
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹15,890","₹18,990",4.4
Haier 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,490","₹18,400",4.3
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹9,490","₹12,500",4.3
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹24,690","₹32,990",4.4
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,490","₹28,990",4.4
SAMSUNG 253 l Frost Free Double Door 1 Star Refrigerator,"₹20,390","₹25,990",4.4
,,,
,,,
SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator,"₹16,990","₹23,990",4.4
SAMSUNG 415 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹45,490","₹54,990",4.4
SAMSUNG 324 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹31,990","₹41,990",4.4
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,490","₹17,150",4.3
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,490","₹28,990",4.4
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,990","₹15,900",4.3
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹14,990","₹24,390",4.4
Godrej 255 L Frost Free Double Door 2 Star Refrigerator,"₹19,490","₹27,000",4.3
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹14,690","₹18,400",4.5
LG 360 L Frost Free Double Door 2 Star Convertible Refrigerator  with Smart Inverter With Multi Air Fl...,"₹34,990","₹53,899",4.1
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator  with Glass Door,"₹23,790","₹28,109",4.4
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,990","₹19,700",4.3
CANDY 190 L Direct Cool Single Door 2 Star Refrigerator,"₹10,490","₹13,500",4.3
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹13,690","₹15,990",4.4
Whirlpool 300 L Frost Free Triple Door Refrigerator,"₹31,990","₹43,000",4.4
"SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool, BSD","₹20,390","₹22,990",4.4
Haier 258 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹20,490","₹27,800",4.4
Godrej 240 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹18,490","₹25,000",4.3
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹13,690","₹15,990",4.4
realme TechLife 280 L Frost Free Double Door 3 Star Refrigerator,"₹21,490","₹35,690",4.3
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,990","₹24,200",4.4
LG 360 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter Technology & Wi-F...,"₹39,990","₹57,599",4.5
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,700","₹22,999",4.5
Godrej 185 L Direct Cool Single Door 3 Star Refrigerator,"₹13,290","₹15,990",4.3
,,,
,,,
LG 260 L Frost Free Double Door 2 Star Convertible Refrigerator  with Convertible Refrigerator,"₹23,990","₹33,299",4.4
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,990","₹36,000",4.2
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,490","₹16,700",4.3
